gene id,cancer_164,cancer_170,cancer_260,normal_1,normal_2,normal_3
ENSG00000128602.12,26.999999000000003,31.999993500000002,38.00005608497,265.99976,158.99965,155.99959
ENSG00000128604.22,68.0,11.0,31.0,49.1303,95.50815,54.99993
ENSG00000128606.14,15.0,0.0,6.00000499127,68.0,41.99998,26.0
ENSG00000128607.15,11.999960999999999,2.000004,6.0,533.00038,575.00044,471.99963
ENSG00000128609.17,0.0,2.0,2.0,408.31710799999996,541.41668,403.538791
ENSG00000128610.13,0.0,0.0,1.0,0.0,2.0,0.0
ENSG00000128617.3,0.0,0.0,1.0,26.1935,11.2035,16.8472
ENSG00000128626.13,22.0,13.999952,12.0,5.5,16.0,5.0
ENSG00000128641.20,61.999944854312,44.0,113.0000727605434,1493.999726,2506.997177884855,699.9998700357396
ENSG00000128645.16,2.0,0.0,0.0,3.79948,5.0,0.0
ENSG00000128652.13,2.0,9.0,3.0,5.0,12.000046,2.9999999999999996
ENSG00000128654.15,2.0,3.0,13.0,488.99920000000003,490.07669000000004,446.9999
ENSG00000128655.19,0.0,0.0,0.0,69.171949,118.34048,74.19666000000001
ENSG00000128656.16,1.0,0.0,0.0,161.9999358247,715.00017,54.9999637
ENSG00000128683.15,5.0,0.0,4.0,25.0,40.99998,15.0
ENSG00000128692.8,0.0,0.0,0.0,5.88016,0.0,1.98815
ENSG00000128694.13,0.0,1.0,0.0,111.00004,106.99995999999999,98.00009
ENSG00000128699.16,0.0,1.0,0.0,191.99994,169.00008368199997,165.00023
ENSG00000128708.14,12.5,5.0,4.0,10.37002,63.26129,18.011606
ENSG00000128709.13,47.0,21.0,24.0,9.0,38.0,1.0
ENSG00000128710.6,17.3299,6.0,20.36846,17.0,175.4312,7.0
ENSG00000128713.14,9.67008,0.0,5.63152,0.0,64.5692,1.0
ENSG00000128714.6,0.0,1.0,0.0,1.0,19.0,2.0
ENSG00000128731.18,459.54331304,257.671834,199.53211,5543.3372,6699.65822,3582.78316
ENSG00000128739.24,49.4888,33.0,34.9737,785.55574,1106.0831600000001,497.82266999999996
ENSG00000128789.23,1.0,0.0,5.0,381.53640999999993,306.53725,306.04549000000003
ENSG00000128791.13,31.0,2.0,2.0,195.0046700657216,213.601039,112.0
ENSG00000128805.16,14.0,12.0,29.0,51.000020124801,107.99995,15.999999999999998
