"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00900","Terpenoid backbone biosynthesis",23,-0.540555088130716,-1.78122084283343,0.00203290926473386,0.0109418351601852,0.00717497387553126,7571,"tags=65%, list=29%, signal=46%","23463/51449/91734/100529261/4598/116150/39/3157/2342/3158/3422/9453/3156/23590/38"
"hsa00970","Aminoacyl-tRNA biosynthesis",44,-0.466247865982311,-1.79567958540815,0.00109402030682769,0.00671757924462243,0.00440496999647373,8043,"tags=57%, list=31%, signal=39%","80222/79731/16/3035/55157/10667/51067/5917/123263/2617/123283/6897/3376/5859/3735/10056/2058/1615/23438/51520/55278/4677/55699/57038/51091"
"hsa00480","Glutathione metabolism",56,-0.446610745380346,-1.80820683860361,0.00138607597110016,0.00824950299297913,0.00540951015933057,5078,"tags=45%, list=20%, signal=36%","2939/2946/5226/2940/10314/4257/3417/4258/6240/2729/494143/2936/2949/2877/2941/4259/2948/2952/6611/79017/2947/119391/27306/2938/50484"
"hsa05010","Alzheimer disease",382,-0.327359762844896,-1.80839189572677,1.28609322134018e-07,3.13806746007004e-06,2.05774915414429e-06,5857,"tags=33%, list=23%, signal=26%","5713/5710/1965/4720/2902/3552/5604/7417/776/27089/23385/4706/51079/5714/836/7416/50507/5610/55102/5601/4702/90550/841/539/22943/506/79861/6392/4705/4695/8883/30849/5534/515/5663/7979/4311/10313/347733/5682/4729/522/10000/4722/7381/7385/6391/5743/55334/9821/3709/6868/673/1536/4040/10213/4541/25800/324/805/110117499/5594/5683/55967/4709/5894/102/8503/317/4719/55062/5599/509/5332/83464/22926/4700/10382/2932/1499/54205/3799/5706/7419/5295/5289/6390/4725/4891/283106/1457/3416/4697/1345/5684/9451/27123/4539/1452/4694/5687/355/4698/514/1147/4535/1131/102800317/1128/4509/1349/64116/4538/4508/5685/4513/4540/4537/4536/4519/4512/4724/4514/57181/1350/4707/6622"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",74,-0.41933131685137,-1.80929275777066,0.000794265820960109,0.00528547800857091,0.00346588721873502,3613,"tags=36%, list=14%, signal=31%","4257/3290/128/1577/130/4258/1576/2949/54575/2941/126/4259/2948/2952/54576/54600/2947/54579/119391/27306/54659/2938/54657/54658/54578/131/54577"
"hsa04140","Autophagy - animal",166,-0.359032713535837,-1.81103721832784,2.63471228475267e-05,0.000295672635747182,0.000193883695571922,8720,"tags=53%, list=34%, signal=35%","29982/5170/3476/26003/3708/57724/64121/170067/6885/5588/10325/7405/5290/29110/116442/83452/4077/6198/208/7248/9342/8837/4893/81631/1612/23710/115201/5291/23339/5728/10133/5563/11337/440275/10652/1965/10533/440738/5604/9474/83734/664/5562/23001/55014/81671/55102/5601/7879/55255/57448/5516/30849/55578/22800/5861/84938/10000/4218/9821/3091/5567/203228/56270/110117499/5594/64798/10241/5894/8503/5515/55062/5599/8887/6233/7189/7314/5295/5289/9451/7311/7316/51100/643246/64422/10010/3920/8417"
"hsa05203","Viral carcinogenesis",198,-0.351914572672707,-1.818069580758,1.23819573481703e-05,0.000151059879647677,9.90556587853621e-05,6967,"tags=44%, list=27%, signal=32%","3716/1959/4067/6777/8341/1111/387/2033/5291/2957/9093/8366/5934/718/1027/8367/1385/6672/8850/4193/6774/2961/5933/5922/3190/3017/554313/8370/836/440689/7531/8348/5610/2966/8362/728340/890/3066/841/2965/5423/8841/8360/2959/998/8365/7529/8364/983/85236/6908/7534/5567/8339/1739/1386/110117499/5594/8349/7874/8343/8344/8345/8503/8368/1654/8342/8346/898/7419/7337/5295/9134/8347/8340/2967/1237/3572/2958/8361/85477/9519/1234/5925/730394/148327/3018"
"hsa05016","Huntington disease",302,-0.338598282702444,-1.82040097412013,2.30342549278094e-07,5.2690858147364e-06,3.45513823917141e-06,6784,"tags=39%, list=26%, signal=29%","1337/84516/2033/4731/127602/498/518/1340/5718/1347/2892/81027/25942/493869/6389/5713/1385/5710/4720/2902/7417/27089/6667/4706/51079/5714/836/548644/7416/55102/5601/4702/3066/841/539/627/163/506/79861/55860/51164/6392/4705/4695/6507/30849/515/7979/347733/1213/5682/4729/522/4722/7381/7385/6391/9821/6908/10213/5440/4541/7019/10891/2891/5431/5683/55967/4709/317/4719/55062/5599/509/5332/4700/10382/54205/6506/3799/5706/2877/83544/7419/5289/6390/4725/4697/1345/5684/10671/6647/246721/4539/4694/5687/4698/514/5439/4535/4509/1349/4538/4508/5685/9519/4513/4540/4537/4536/4519/4512/4724/148327/4514/1350/4707"
"hsa00510","N-Glycan biosynthesis",55,-0.452770716679308,-1.82470863009438,0.000769244375813465,0.00528547800857091,0.00346588721873502,5397,"tags=45%, list=21%, signal=36%","746/200185/6480/10905/6185/4124/58505/440138/84061/7991/201595/56052/84620/84920/2530/199857/79644/3703/29880/79053/144245/11320/79796/8813/29929"
"hsa04130","SNARE interactions in vesicular transport",33,-0.51172256088002,-1.82739754497897,0.00234018697765808,0.0122358347688979,0.00802349820911341,3387,"tags=30%, list=13%, signal=26%","112755/143187/9482/6845/9527/8773/415117/662/9554/8417"
