"ENTREZID","log2FC"
"51143",5.73499885930744
"100419558",5.73499884443112
"220972",5.73499883098759
"84319",5.73499879442855
"6712",5.73499877697892
"148203",5.7349986941604
"55783",5.73499868825889
"7980",5.7349985991447
"26958",5.73499853347482
"10984",5.73499852689799
"8294",5.73499831545618
"100271651",5.73499826346089
"101927911",5.73499824425364
"10131",5.73499822283076
"1589",5.73499820980652
"28983",5.73499819912301
"27334",5.73499813339614
"480",5.73499812362759
"3811",5.73499811805869
"57623",5.73499809455557
"8392",5.73499804106281
"92579",5.73499804044467
"6126",5.73499799762425
"646962",5.73499788268686
"140597",5.73499783684001
"6721",5.73499670174307
"63036",5.73499665158879
"55345",5.73499662741532
"4758",5.73499628183434
"115286",5.73499610888373
"11061",5.73377397517716
"2055",5.73377307343335
"55278",5.73377247774433
"24145",5.73377189404953
"3579",5.73377175252096
"10568",5.73263656708638
"9077",5.72855789262417
"10343",5.71470277035213
"54930",5.71221995319803
"57834",5.71078640381594
"10590",5.70872424849173
"29985",5.70526367477421
"622",5.70505039692502
"9632",5.70370621397163
"10127",5.69882782347544
"106479386",5.68341790311
"124901039",5.68326465902748
"101927934",5.67840027102015
"55748",5.67775150332534
"6257",5.67775121209533
"51259",5.67772603818203
"25911",5.67761971905616
"6534",5.6773786574958
"7919",5.67665234554304
"126433",5.67459988167194
"107985380",5.65618998366908
"283933",5.65173422525273
"29928",5.65082570407349
"23401",5.64920401267823
"79919",5.64920385241171
"1448",5.64920361959622
"5445",5.64920358790736
"493812",5.64920354038646
"127733",5.6492030749619
"125488",5.64920300438348
"124901020",5.64920272041624
"5345",5.6492027151695
"1000",5.64920263979541
"146429",5.64920260393703
"54832",5.64920253038302
"57531",5.64920242973686
"55275",5.64920220619734
"9437",5.64920220075935
"23498",5.6492018765734
"645957",5.64920162847418
"26247",5.64920158964672
"387036",5.64920156910326
"6500",5.64920135605479
"11059",5.64920123280767
"6196",5.64920094547261
"100033430",5.64920029017164
"105372280",5.64749918908766
"5422",5.64681637839355
"84959",5.64165016303693
"4063",5.6401217455594
"134492",5.63800950450464
"200558",5.63383662704081
"400823",5.62714955231805
"3642",5.62556745924312
"10371",5.6219805309459
"4738",5.62048980672766
"90417",5.61985572210279
"105369192",5.61267572506278
"256281",5.6125607104633
"9457",5.61210986950445
"6483",5.6107968304136
"4322",5.60743239869614
"30837",5.60743182845648
"440078",5.60193306713537
"55251",5.59888614200119
"10261",5.59887709294015
"51108",5.59559306179351
"284023",5.59442984653975
"100271422",5.58850321043484
"693182",5.57837988380179
"2829",5.57610822578523
"54573",5.57512324453934
"22797",5.57453053576942
"84321",5.5625879758532
"105370591",5.55521639945209
"4948",5.54842016244271
"643650",5.54778819899185
"1265",5.53182266509817
"56916",5.52994819047123
"317705",5.52638393476956
"23161",5.52616040796842
"51107",5.52405094220466
"100169768",5.5237451127175
"23126",5.52093695440425
"259296",5.51627880576746
"100271226",5.51054562158963
"1800",5.50765719715015
"26532",5.50564105090056
"4700",5.50397057218233
"1407",5.49292590536604
"594837",5.47920098820157
"101929563",5.47174477367169
"101928264",5.46909350170077
"284100",5.4645480929932
"78990",5.46085327219309
"7324",5.46077892751097
"10781",5.46077814071893
"338322",5.45708987611668
"55652",5.45445065031066
"105374366",5.45128744822887
"7179",5.44978828546656
"2395",5.44961668306889
"6646",5.44840997708361
"388132",5.44840881718173
"230",5.44711118529615
"767583",5.44479422053587
"26793",5.44340479011368
"100419028",5.43891494319564
"195828",5.43891357525653
"677845",5.43891241366157
"100874111",5.43158391294532
"100526694",5.42858567555176
"205327",5.42652231759121
"100132979",5.42251549707785
"3112",5.42043396459184
"57532",5.4201600462946
"3171",5.42015895538704
"285556",5.42012821465709
"100132891",5.42006460814103
"645558",5.41989628738185
"4291",5.40581994765693
"308",5.4029177080749
"9836",5.39712248536277
"59307",5.39366498334575
"100133265",5.38979531511096
"54535",5.38663697799482
"91749",5.3798869619954
"7088",5.37720729556629
"9910",5.3738447879617
"3773",5.37384428118915
"3832",5.37381295628624
"55929",5.37380958547875
"1801",5.37379554409887
"1236",5.37379436349841
"9263",5.3737939141917
"5671",5.37379373857839
"253827",5.37379353671305
"101060542",5.37307645189918
"4725",5.37205369716229
"23305",5.37205304450128
"1345",5.37013347924772
"54586",5.36651755427433
"9228",5.36556377306529
"100130108",5.36510294835394
"167465",5.36469270425156
"7444",5.36410448767829
"100287513",5.36180985237888
"50854",5.36087536490527
"7056",5.35911896223689
"729674",5.35911864319087
"101927259",5.35911758305841
"7053",5.35911737959973
"284756",5.3591170186866
"2904",5.35911690728859
"467",5.35911687333061
"56901",5.35910065101583
"8409",5.35909932507449
"23326",5.35834524934926
"644538",5.35090791493903
"890",5.346727232404
"8772",5.3452464262822
"57175",5.341744706528
"408263",5.34119607033172
"54566",5.33883555176288
"100886964",5.33324399482492
"100310846",5.33076945333544
"192666",5.33021092644313
"11001",5.32914835865417
"400360",5.32397024018287
"23500",5.32359005363181
